id,name,type,source,price,length_m,width_m,tonnage,build_year,engine_hours,engine_power_hp,engine_make,generator_kva,bow_thruster_hp,fuel_tank_liters,num_holds,hull_type,clearance_height_m,cargo_capacity_m3,double_hull,has_bow_thruster,engine_revision_year,certificate_valid,price_per_meter,price_per_ton,vessel_age,days_on_market,is_outlier,canonical_vessel_id
001e19d9-48ea-48d4-8e3e-06a095c33c37,Vera,Motorvrachtschip,gsk,780000.0,100.05,9.52,1832.0,1974.0,,1000.0,Deutz,102.0,284.0,,1.0,welded,4.45,2200.0,True,True,2021.0,True,7796.1,425.76,52.0,122,False,
0041f8ea-7f81-4d6f-8a73-ab502a9e42ed,Bobr,Duw/Sleepboot,gsk,150000.0,29.65,7.44,,1983.0,,230.0,2 x WH6A,,,,,,,,,,,True,5059.02,,43.0,122,False,
004bb67e-23bc-4cbb-aaf6-4a98fd2374d6,Serfra,Motorvrachtschip,gtsschepen,,67.0,8.2,850.0,1947.0,,560.0,Deutz,30.0,220.0,15600.0,2.0,mixed,4.3,1200.0,False,True,2003.0,True,,,79.0,122,False,bc53ae71-f452-4a3f-a9c3-872ea64f28ce
01189f71-17d0-43a6-aad9-d765bc111808,Le temps,Motorvrachtschip,gsk,390000.0,73.0,8.27,1154.0,1966.0,16000.0,820.0,Caterpillar,,270.0,,,,,,,True,2007.0,False,5342.47,337.95,60.0,122,False,
01bf2dc8-757e-404c-8f80-dd7b71e74613,Elsa,Motorvrachtschip,gtsschepen,165000.0,54.84,7.08,574.0,1956.0,22300.0,530.0,Scania,,168.0,7500.0,2.0,welded,4.2,875.0,False,True,2017.0,True,3008.75,287.46,70.0,122,False,
01d910ae-125b-41e4-adc6-3cb4b86bfb15,Sammi,Motorvrachtschip,gtsschepen,299000.0,67.0,8.2,921.0,1959.0,59000.0,811.0,Carterpillar,17.0,350.0,13000.0,1.0,welded,4.25,1400.0,False,True,2009.0,False,4462.69,324.65,67.0,122,False,
02dedca2-a68d-4b59-b330-5721670ab8c6,Christaro,Motorvrachtschip,gsk,,80.18,8.22,1127.037,1957.0,67260.0,900.0,ABC,28.0,320.0,,2.0,welded,6.0,1750.0,,True,2002.0,True,,,69.0,122,False,
02ea9d62-a7b1-4a4a-bc0f-e16914846abb,Asturias,Motorvrachtschip,pcshipbrokers,,80.0,8.99,1270.0,1964.0,,,,,,,,,,,,,,,,,62.0,122,False,
03046587-27b1-4ac0-8f95-dcdce5d630c6,Licorne,Motorvrachtschip,gtsschepen,225000.0,66.84,8.2,913.0,1957.0,44524.0,671.0,Caterpillar,,320.0,,2.0,,,1350.0,,True,,False,3366.25,246.44,69.0,122,False,
03341510-3b10-4404-8a22-20a55b843517,Rolf-Moni,Motorvrachtschip,pcshipbrokers,2495000.0,105.47,11.42,2646.0,2001.0,122337.0,1800.0,ABC,70.0,405.0,28000.0,,,5.2,,True,True,2019.0,True,23656.02,942.93,25.0,122,False,
03407b7d-44bb-4d4a-bd05-6d4c4461a907,Vertrouwen,Motorvrachtschip,pcshipbrokers,190000.0,51.95,6.59,615.0,1959.0,56210.0,400.0,Cummins,20.0,140.0,9000.0,,riveted,4.76,725.0,False,True,,True,3657.36,308.94,67.0,24,False,
036e4421-c0df-4803-bdee-f5d51e6d71ad,Fatal,Motorvrachtschip,pcshipbrokers,1350000.0,86.0,9.5,1661.0,1964.0,,,,,,,,,,,,,,,15697.67,812.76,62.0,122,False,
049e2048-6dbe-406a-b7c8-02a08fca728c,MRD-Support,Overige,pcshipbrokers,169500.0,38.7,6.55,141.0,1955.0,,149.6,Deutz,,,,,,,,,,,True,4379.84,1202.13,71.0,122,False,
05219f97-3edd-408e-a32c-c2a3e158f16e,O Salerno,Accomodatieschip,pcshipbrokers,550000.0,39.0,5.0,379.0,1963.0,,360.0,GM,20.0,,4000.0,,welded,3.45,,,,,False,14102.56,1451.19,63.0,122,False,
05254d89-0b01-4686-b112-dd69cfc9dae3,Shari,Motorvrachtschip,gsk,155000.0,49.84,6.6,500.39,1913.0,,406.0,Caterpillar ,25.0,168.0,,2.0,,4.8,,,True,,,3109.95,309.76,113.0,122,False,
05cad7be-d69c-4358-bc0c-4dc47b05a8cd,Mi Vida,Motorvrachtschip,rensendriessen,2000000.0,109.0,10.5,1750.0,1992.0,48106.0,,Caterpillar,65.0,,28000.0,,,,,,,,,18348.62,1142.86,34.0,122,False,
068f5dd1-9b60-48fd-acba-195f2e1ee94a,Makimbo,Motorvrachtschip,gsk,,100.0,10.07,2095.0,1974.0,40000.0,650.0,Volvo ,30.0,430.0,,2.0,,6.6,2900.0,True,True,,True,,,52.0,122,False,
069728d8-f788-45df-ae5f-710af69e5a2c,Gibraltar,Tankschip,galle,5450000.0,109.96,11.44,2690.139,2020.0,,,,436.0,,,,,4.58,3023.0,,,,,49563.48,2025.92,6.0,2,False,7af0668a-83ad-4ea6-9933-0fd45828fcbb
07e32890-cd77-431d-8e5c-d4d0faed8428,Sorrento,Motorvrachtschip,gsk,2450000.0,110.0,11.45,2722.0,1999.0,,,,,,,,,,,,,,,22272.73,900.07,27.0,122,False,
07eafc0e-70a8-4065-9c51-accacca3b59f,Visioen,Tankschip,gsk,,109.9,11.45,3234.99,2005.0,45280.0,1835.0,Caterpillar,140.0,511.0,,,welded,6.66,,,True,2023.0,True,,,21.0,122,False,
0856a285-cda6-418a-8474-04022719f7db,Saga,Motorvrachtschip,gsk,495000.0,79.82,8.2,1086.0,1961.0,48500.0,862.0,Mitsubishi,35.0,400.0,,2.0,welded,5.55,1600.0,,True,2016.0,True,6201.45,455.8,65.0,122,False,
0859db6e-7325-4a14-bc56-6c4505efd906,Mercurius,Kraanschip,gtsschepen,,86.0,11.55,2150.0,2005.0,,860.0,Caterpillar,44.0,608.0,,2.0,welded,,,True,True,2021.0,,,,21.0,122,False,4bb99b9c-b0af-422b-83bd-84fe4884c990
087641b9-3e87-4b6f-9787-8a41fe0264c2,Jogo 3,Motorvrachtschip,gsk,195000.0,67.0,8.2,873.0,1943.0,52000.0,720.0,Deutz,20.0,200.0,,2.0,,4.25,1250.0,,True,,True,2910.45,223.37,83.0,122,False,
08b88172-0832-4bd8-8754-341919364425,Malayu Cybra,Koppelverband,rensendriessen,3500000.0,109.93,11.48,2138.0,1997.0,,1800.0,Wartsila,60.0,350.0,,,,,,,True,2025.0,,31838.44,1637.04,29.0,122,False,
