id,name,type,source,price,length_m,width_m,tonnage,build_year,engine_hours,engine_power_hp,engine_make,generator_kva,bow_thruster_hp,fuel_tank_liters,num_holds,hull_type,clearance_height_m,cargo_capacity_m3,double_hull,has_bow_thruster,engine_revision_year,certificate_valid,price_per_meter,price_per_ton,vessel_age,days_on_market,is_outlier,canonical_vessel_id
001e19d9-48ea-48d4-8e3e-06a095c33c37,Vera,Motorvrachtschip,gsk,780000.0,100.05,9.52,1832.0,1974.0,,1000.0,Deutz,102.0,284.0,,1.0,welded,4.45,2200.0,True,True,2021.0,True,7796.1,425.76,52.0,122,False,
0041f8ea-7f81-4d6f-8a73-ab502a9e42ed,Bobr,Duw/Sleepboot,gsk,150000.0,29.65,7.44,,1983.0,,230.0,2 x WH6A,,,,,,,,,,,True,5059.02,,43.0,122,False,
01189f71-17d0-43a6-aad9-d765bc111808,Le temps,Motorvrachtschip,gsk,390000.0,73.0,8.27,1154.0,1966.0,16000.0,820.0,Caterpillar,,270.0,,,,,,,True,2007.0,False,5342.47,337.95,60.0,122,False,
01bf2dc8-757e-404c-8f80-dd7b71e74613,Elsa,Motorvrachtschip,gtsschepen,165000.0,54.84,7.08,574.0,1956.0,22300.0,530.0,Scania,,168.0,7500.0,2.0,welded,4.2,875.0,False,True,2017.0,True,3008.75,287.46,70.0,122,False,
01d910ae-125b-41e4-adc6-3cb4b86bfb15,Sammi,Motorvrachtschip,gtsschepen,299000.0,67.0,8.2,921.0,1959.0,59000.0,811.0,Carterpillar,17.0,350.0,13000.0,1.0,welded,4.25,1400.0,False,True,2009.0,False,4462.69,324.65,67.0,122,False,
03046587-27b1-4ac0-8f95-dcdce5d630c6,Licorne,Motorvrachtschip,gtsschepen,225000.0,66.84,8.2,913.0,1957.0,44524.0,671.0,Caterpillar,,320.0,,2.0,,,1350.0,,True,,False,3366.25,246.44,69.0,122,False,
03341510-3b10-4404-8a22-20a55b843517,Rolf-Moni,Motorvrachtschip,pcshipbrokers,2495000.0,105.47,11.42,2646.0,2001.0,122337.0,1800.0,ABC,70.0,405.0,28000.0,,,5.2,,True,True,2019.0,True,23656.02,942.93,25.0,122,False,
03407b7d-44bb-4d4a-bd05-6d4c4461a907,Vertrouwen,Motorvrachtschip,pcshipbrokers,190000.0,51.95,6.59,615.0,1959.0,56210.0,400.0,Cummins,20.0,140.0,9000.0,,riveted,4.76,725.0,False,True,,True,3657.36,308.94,67.0,24,False,
036e4421-c0df-4803-bdee-f5d51e6d71ad,Fatal,Motorvrachtschip,pcshipbrokers,1350000.0,86.0,9.5,1661.0,1964.0,,,,,,,,,,,,,,,15697.67,812.76,62.0,122,False,
049e2048-6dbe-406a-b7c8-02a08fca728c,MRD-Support,Overige,pcshipbrokers,169500.0,38.7,6.55,141.0,1955.0,,149.6,Deutz,,,,,,,,,,,True,4379.84,1202.13,71.0,122,False,
05219f97-3edd-408e-a32c-c2a3e158f16e,O Salerno,Accomodatieschip,pcshipbrokers,550000.0,39.0,5.0,379.0,1963.0,,360.0,GM,20.0,,4000.0,,welded,3.45,,,,,False,14102.56,1451.19,63.0,122,False,
05254d89-0b01-4686-b112-dd69cfc9dae3,Shari,Motorvrachtschip,gsk,155000.0,49.84,6.6,500.39,1913.0,,406.0,Caterpillar ,25.0,168.0,,2.0,,4.8,,,True,,,3109.95,309.76,113.0,122,False,
05cad7be-d69c-4358-bc0c-4dc47b05a8cd,Mi Vida,Motorvrachtschip,rensendriessen,2000000.0,109.0,10.5,1750.0,1992.0,48106.0,,Caterpillar,65.0,,28000.0,,,,,,,,,18348.62,1142.86,34.0,122,False,
07e32890-cd77-431d-8e5c-d4d0faed8428,Sorrento,Motorvrachtschip,gsk,2450000.0,110.0,11.45,2722.0,1999.0,,,,,,,,,,,,,,,22272.73,900.07,27.0,122,False,
0856a285-cda6-418a-8474-04022719f7db,Saga,Motorvrachtschip,gsk,495000.0,79.82,8.2,1086.0,1961.0,48500.0,862.0,Mitsubishi,35.0,400.0,,2.0,welded,5.55,1600.0,,True,2016.0,True,6201.45,455.8,65.0,122,False,
087641b9-3e87-4b6f-9787-8a41fe0264c2,Jogo 3,Motorvrachtschip,gsk,195000.0,67.0,8.2,873.0,1943.0,52000.0,720.0,Deutz,20.0,200.0,,2.0,,4.25,1250.0,,True,,True,2910.45,223.37,83.0,122,False,
08b88172-0832-4bd8-8754-341919364425,Malayu Cybra,Koppelverband,rensendriessen,3500000.0,109.93,11.48,2138.0,1997.0,,1800.0,Wartsila,60.0,350.0,,,,,,,True,2025.0,,31838.44,1637.04,29.0,122,False,
09ba9faa-f329-4fa0-a810-ea021555089c,.,Tankschip,rensendriessen,4500000.0,110.0,11.45,,,,,,,,,,,,,,,,,40909.09,,,115,False,
09d999c3-397c-4d34-b3aa-54cf67f16689,Itinerant,,gsk,1150000.0,104.85,9.57,2204.0,1981.0,,,,,,,,,,,,,,,10968.05,521.78,45.0,122,False,
0ad6c8fd-a8b3-4d4b-ba30-f4f689aa1214,Breeze,,gsk,830000.0,79.0,8.2,1303.0,1960.0,,,,,,,,,,,,,,,10506.33,636.99,66.0,122,False,
0b87861f-a097-4c27-8bcb-8e4b09e6e25f,Atiram ,Motorvrachtschip,pcshipbrokers,585000.0,75.9,8.2,1057.0,1957.0,46300.0,640.0,Cummins,20.0,320.0,1000.0,,riveted,5.2,1470.0,,True,,True,7707.51,553.45,69.0,122,False,
0be95213-cf78-4247-9bd2-9352f106efd5,Taz,Koppelverband,gsk,2400000.0,110.0,12.54,4432.924,2000.0,,,,,,,,,,,,,,,21818.18,541.4,26.0,122,False,
0c481b7a-7e65-4588-870e-55110b307635,Agamemnon,Motorvrachtschip,pcshipbrokers,865000.0,84.91,9.52,1657.0,1978.0,,1000.0,Deutz,40.0,400.0,31000.0,,welded,,1800.0,True,True,,True,10187.26,522.03,48.0,122,False,
0d3ba6df-a20c-47a0-98c1-f139be9df0e3,Enja-D,Motorvrachtschip,gtsschepen,650000.0,80.0,8.2,1121.0,1972.0,23000.0,650.0,Volvo Penta,30.0,250.0,16000.0,1.0,welded,4.52,1500.0,,True,,True,8125.0,579.84,54.0,122,False,
0d53ac4d-3795-45c7-a457-1d3f3ac3ccc0,Folio 3652,Duwbak,gtsschepen,145000.0,50.0,9.0,720.0,1983.0,,,,,,,,,,,,,,True,2900.0,201.39,43.0,122,False,
