Rich Field Parse Failures (172 total)
============================================================
power | pcshipbrokers | Rolf-Moni | raw: 2x van Tiem
power | pcshipbrokers | Vertrouwen | raw: Kalkman, stuurrooster 600 mm. Bj 1985
power | pcshipbrokers | Smaragd | raw: van Tiem, stuurrooster
power | pcshipbrokers | Atiram  | raw: Stuurrooster 360°
power | pcshipbrokers | Agamemnon | raw: Oudakker, stuurrooster, (ingebouwd '06)
power | pcshipbrokers | Farmsum | raw: Van Oost, Maasbracht, stuurrooster BJ. 2012
power | pcshipbrokers | Zwaantje | raw: Van Tiem, stuurrooster
power | pcshipbrokers | Chrisya | raw: Veth kanaal systeem
power | pcshipbrokers | Sméagol  | raw: Schottel, Bos Groningen
power | pcshipbrokers | Meare | raw: Van Wijk
power | pcshipbrokers | Rumandy | raw: Dries Hamelinck, stuurrooster
power | pcshipbrokers | Festine Vere | raw: De Gerlien van Tiem, stuurrooster
power | pcshipbrokers | Festine Vere | raw: MTU, 12V 183 TA
power | pcshipbrokers | Hayley-Rose | raw: Caterpillar 3406
power | pcshipbrokers | Hayley-Rose | raw: van Ballegooy stuurrooster, Bj. 1992
power | pcshipbrokers | Falaise | raw: Van Ballegooy
power | pcshipbrokers | Orion | raw: Veth-Jet, Bj. 2004
power | pcshipbrokers | Venezuela | raw: van Tiem stuurrooster
power | pcshipbrokers | Spido II | raw: Kalkman
power | pcshipbrokers | Bremare | raw: Van Mill
power | pcshipbrokers | Rimari | raw: Mitsubishi, 4-kanaals, Bj. 2007 / Mitsubishi, 4-kanaals, Bj. 2007
power | pcshipbrokers | Crescendo | raw: Van Tiem
power | pcshipbrokers | Mordicus | raw: Ballegooy, 360 graden
power | pcshipbrokers | Sélodie | raw: Omega
power | pcshipbrokers | Carina | raw: Van Wijk stuurrooster
power | pcshipbrokers | Loukoum | raw: Platliggend schroef Dries Hamelink
power | pcshipbrokers | Janneke | raw: Van Tiem, stuurrooster
power | pcshipbrokers | Skyfall | raw: Stuurrooster 360°
power | pcshipbrokers | Valé | raw: Cummins QSK 19, Bj. 2021
power | pcshipbrokers | Valé | raw: van Ballegooy
power | pcshipbrokers | Seceda | raw: Van Ballegooy met hydraulisch 360° draaibaar stuurrooster, Bj. 2002
power | pcshipbrokers | Mercurius (kraanschip) | raw: Van Wijk, stuurrooster
power | pcshipbrokers | Horizon | raw: De Gerlien van Tiem, stuurrooster, Bj. 2003
power | pcshipbrokers | Navigatio | raw: Schottel met verticaal beweegbare as en 360 graden draaibare schroef
generator_kva | pcshipbrokers | Pergo | raw: Perkins
power | pcshipbrokers | Asdeta | raw: Caterpillar 3512, Bj. 2008 (CCR2)
generator_kva | pcshipbrokers | Asdeta | raw: John Deere, Bj. 2019 (CCR2) / Caterpillar C 4,4, Bj. 2008 (CCR2)
power | pcshipbrokers | Mi Vida | raw: Veth, 4 kanalen systeem, Bj. 1992
power | pcshipbrokers | Credo | raw: Fabr. van Tiem 360 graden stuurrooster, Bj. 2017
generator_kva | pcshipbrokers | Johanna Adriana | raw: Yanmar
power | pcshipbrokers | Debussy | raw: Ballegooy
power | pcshipbrokers | Via Nova | raw: Kanalen Systeem
power | pcshipbrokers | Via Nova | raw: Daf 65
generator_kva | pcshipbrokers | Emma Sophia | raw: Hatz 2M41 / Hatz 3M41
power | pcshipbrokers | Emma Sophia | raw: Van Tiem 410
power | pcshipbrokers | Emma Sophia | raw: DAF 1160 (revisie sep '21)
power | pcshipbrokers | Hermina  | raw: Cummins QSK 50, Bj. 2019
power | pcshipbrokers | Hermina  | raw: Veth 4 kanaals
power | pcshipbrokers | Sanitas | raw: Van Wijk platliggende schroef
generator_kva | pcshipbrokers | Laco | raw: JCB ,448TGWA
power | pcshipbrokers | Laco | raw: MTH, 295 WS
power | pcshipbrokers | Kevalia | raw: Van Ballegooy, stuurrooster, Bj. 2007
power | pcshipbrokers | Imperieux | raw: van Tiem, stuurrooster
power | pcshipbrokers | Eivissa | raw: Kalkman
power | pcshipbrokers | Tranquilo | raw: Veth Jeth, 4K1000, Ø 800 mm., Bj. 1988
power | pcshipbrokers | Flottant | raw: Cummins QSK 19-M, Bj 2019
power | pcshipbrokers | Flottant | raw: Van Ballegooy, stuurrooster
power | pcshipbrokers | Merlin | raw: 360° stuurrooster
power | pcshipbrokers | Saffier | raw: 4 kanalensyteem
power | pcshipbrokers | Hermina 1  | raw: Van Tiem, Rooster
power | pcshipbrokers | Kenora | raw: Van Tiem 4 kanalen 1000 mm
